no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.05,1.77
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.26,1.31
3,CEREALES,PAN FRANCÉS,460 gms,173,7.19,2.70
4,CEREALES,PAN DULCE,460 gms,216,6.74,3.16
5,CEREALES,FIDEOS,230 gms,62,4.36,1.18
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,1804,3.66,14.35
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.68,6.14
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.88,3.71
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.24,3.92
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.47,4.15
11,CARNES,EMBUTIDOS,460 gms,61,12.74,1.69
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.15,2.28
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.58,2.91
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.60,1.59
15,LÁCTEOS,CREMA FRESCA,250 ml,45,10.09,1.82
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.42,2.53
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.85,2.14
18,FRUTAS,AGUACATES,460 gms,104,8.43,1.91
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.41,1.37
20,FRUTAS,PLÁTANOS,460 gms,207,2.68,1.21
21,FRUTAS,PIÑAS,460 gms,186,2.54,1.03
22,FRUTAS,SANDIAS,460 gms,214,2.00,0.93
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.59,1.62
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.51,2.23
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,5.56,1.14
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.68,1.15
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.76,0.90
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.54,3.94
29,AZÚCAR,AZÚCAR,460 gms,409,3.16,2.81
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.99,1.04
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.62,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,43.23,3.95
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.44,2.34
